PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
#L1 Data Cache:
#Load-Hits:                    309177:   97.3001%:        309177:   97.3001%
#Load-Misses:                    8579:    2.6999%:          8579:    2.6999%
#Load-Accesses:                317756:  100.0000%:        317756:  100.0000%
#
#Store-Hits:                   133685:   98.3781%:        133685:   98.3781%
#Store-Misses:                   2204:    1.6219%:          2204:    1.6219%
#Store-Accesses:               135889:  100.0000%:        135889:  100.0000%
#
#Total-Hits:                   442862:   97.6230%:        442862:   97.6230%
#Total-Misses:                  10783:    2.3770%:         10783:    2.3770%
#Total-Accesses:               453645:  100.0000%:        453645:  100.0000%

#Load-SttRam:                  203589:   64.0709%
#Store-Sttram:                  40196:   29.5800%
#Load-Sram:                    114167:   35.9291%
#Store-Sram:                    95693:   70.4200%


#Stack-Swap:                    14329:   85.7870%:         14329:   85.7870%
#Heap-Swap:                         0:    0.0000%:             0:    0.0000%
#Global-Swap:                    2374:   14.2130%:          2374:   14.2130%
#Total-Swap:                    16703:  100.0000%:         16703:  100.0000%

#Stack-Migration:               14711:   80.7542%:         14711:   80.7542%
#Heap-Migration:                    0:    0.0000%:             0:    0.0000%
#Global-Migration:               3506:   19.2458%:          3506:   19.2458%
#Total-Migrate:                 18217:  100.0000%:         18217:  100.0000%

#Stack-WriteBack:                 351:   14.4504%:           351:   14.4504%
#Heap-WriteBack:                    0:    0.0000%:             0:    0.0000%
#Global-WriteBack:               2078:   85.5496%:          2078:   85.5496%
#Total-WriteBack:                2429:  100.0000%:          2429:  100.0000%

##############################cache line level statistics############################
Tag-Num:        Tag-Read:       Tag-Write:      Tag-Shift:      Tag-Hit:        Tag-Miss:       
###Stack###
         8407146:               1:               0:               1:               0:               1
         8407147:               2:               0:               1:               1:               1
         8407151:               1:               0:               1:               0:               1
         8407152:               2:               0:               1:               1:               1
         8407156:               1:               0:               1:               0:               1
         8407157:               2:               0:               1:               1:               1
         8407159:               1:               0:               1:               0:               1
         8407160:               3:               0:               1:               2:               1
         8407161:               2:               0:               1:               1:               1
         8407162:               1:               0:               1:               0:               1
         8407163:               2:               0:               2:               0:               2
         8407168:               1:               0:               1:               0:               1
         8407169:               2:               0:               1:               1:               1
         8407171:               1:               0:               1:               0:               1
         8407172:               2:               0:               1:               1:               1
         8407175:               1:               0:               1:               0:               1
         8407176:               2:               0:               1:               1:               1
         8407177:               1:               0:               1:               0:               1
         8407178:               2:               0:               1:               1:               1
         8407187:               1:               0:               1:               0:               1
         8407188:               2:               0:               1:               1:               1
         8407191:               1:               0:               1:               0:               1
         8407192:               2:               0:               1:               1:               1
         8407200:               1:               0:               1:               0:               1
         8407201:               2:               0:               1:               1:               1
         8407203:               1:               0:               1:               0:               1
         8407204:               2:               0:               1:               1:               1
         8407212:               1:               0:               1:               0:               1
         8407213:               2:               0:               1:               1:               1
         8407216:               1:               0:               1:               0:               1
         8407217:               2:               0:               2:               0:               2
         8407222:               1:               0:               1:               0:               1
         8407223:               2:               0:               1:               1:               1
         8407234:               1:               0:               1:               0:               1
         8407235:               3:               0:               3:               0:               3
         8407236:               2:               0:               1:               1:               1
         8407253:               1:               0:               1:               0:               1
         8407254:               2:               0:               1:               1:               1
         8407257:               1:               0:               1:               0:               1
         8407258:               2:               0:               1:               1:               1
         8407259:               2:               0:               2:               0:               2
         8407260:               9:               0:               1:               8:               1
         8407261:               1:               0:               1:               0:               1
         8407262:               9:               0:               2:               7:               2
         8407263:              29:               0:               2:              27:               2
         8407264:              15:               0:               1:              14:               1
         8407265:               3:               0:               3:               0:               3
         8407266:              15:               0:               1:              14:               1
         8407268:               2:               0:               2:               0:               2
         8407269:              11:               0:               1:              10:               1
         8407270:              64:               0:               2:              62:               2
         8407271:              47:               0:               2:              45:               2
         8407272:              12:               0:               1:              11:               1
         8407274:              20:               0:               1:              19:               1
         8407275:              18:               0:               1:              17:               1
         8407279:              76:               0:               1:              75:               1
         8407280:              47:               0:               2:              45:               2
         8407289:             155:               0:               3:             152:               3
         8407290:               9:               0:               1:               8:               1
         8407291:             372:               0:               4:             368:               4
         8407292:             252:               0:               5:             247:               5
         8407293:               7:               0:               1:               6:               1
