PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
#L1 Data Cache:
#Load-Hits:                    308998:   97.2432%:        308998:   97.2432%
#Load-Misses:                    8760:    2.7568%:          8760:    2.7568%
#Load-Accesses:                317758:  100.0000%:        317758:  100.0000%
#
#Store-Hits:                   133765:   98.4370%:        133765:   98.4370%
#Store-Misses:                   2124:    1.5630%:          2124:    1.5630%
#Store-Accesses:               135889:  100.0000%:        135889:  100.0000%
#
#Total-Hits:                   442763:   97.6008%:        442763:   97.6008%
#Total-Misses:                  10884:    2.3992%:         10884:    2.3992%
#Total-Accesses:               453647:  100.0000%:        453647:  100.0000%

#Load-SttRam:                  203574:   64.0657%
#Store-Sttram:                  39845:   29.3217%
#Load-Sram:                    114184:   35.9343%
#Store-Sram:                    96044:   70.6783%


#Stack-Swap:                    14203:   85.9070%:         14203:   85.9070%
#Heap-Swap:                         0:    0.0000%:             0:    0.0000%
#Global-Swap:                    2330:   14.0930%:          2330:   14.0930%
#Total-Swap:                    16533:  100.0000%:         16533:  100.0000%

#Stack-Migration:               14532:   80.4384%:         14532:   80.4384%
#Heap-Migration:                    0:    0.0000%:             0:    0.0000%
#Global-Migration:               3534:   19.5616%:          3534:   19.5616%
#Total-Migrate:                 18066:  100.0000%:         18066:  100.0000%

#Stack-WriteBack:                 289:   12.3346%:           289:   12.3346%
#Heap-WriteBack:                    0:    0.0000%:             0:    0.0000%
#Global-WriteBack:               2054:   87.6654%:          2054:   87.6654%
#Total-WriteBack:                2343:  100.0000%:          2343:  100.0000%

##############################cache line level statistics############################
Tag-Num:        Tag-Read:       Tag-Write:      Tag-Shift:      Tag-Hit:        Tag-Miss:       
###Stack###
       201322311:              45:               0:               3:              42:               3
       201322312:              43:               0:               3:              40:               3
       201322317:              43:               0:               4:              39:               4
       201322318:              43:               0:               3:              40:               3
       201322320:              43:               0:               4:              39:               4
       201322322:              43:               0:               3:              40:               3
       201322323:              44:               0:               2:              42:               2
       201322397:              43:               0:              15:              28:              15
       201322399:              43:               0:               4:              39:               4
       201322400:              45:               0:              14:              31:              14
       201322403:              43:               0:              15:              28:              15
       201322408:              43:               0:              14:              29:              14
       201322409:              44:               0:              14:              30:              14
       201322410:              43:               0:              14:              29:              14
       201322413:              43:               0:              16:              27:              16
       201322421:              43:               0:              10:              33:              10
       201322423:              43:               0:              18:              25:              18
       201322424:              43:               0:              42:               1:              42
       201322431:              43:               0:               5:              38:               5
       201322432:              43:               0:              16:              27:              16
       201322433:              43:               0:               3:              40:               3
       201322434:             717:               0:               5:             712:               5
       201322436:              33:               0:               4:              29:               4
       201322439:              31:               0:               4:              27:               4
       201322440:              31:               0:               4:              27:               4
       201322442:              31:               0:               5:              26:               5
       201322443:              62:               0:               4:              58:               4
       201322444:              31:               0:               3:              28:               3
       201322447:              33:               0:               3:              30:               3
       201322448:              31:               0:               2:              29:               2
       201322454:              31:               0:               3:              28:               3
       201322458:              32:               0:               3:              29:               3
       201322460:              62:               0:               2:              60:               2
       201322462:              32:               0:               4:              28:               4
       201322464:              31:               0:               3:              28:               3
       201322465:              31:               0:               3:              28:               3
       201322469:              31:               0:               3:              28:               3
###Heap###
###Global###:	         8407043:               2:               0:               1:               1:               1
         8407045:               2:               0:               1:               1:               1
         8407047:               3:               0:               1:               2:               1
         8407048:               2:               0:               1:               1:               1
         8407049:               2:               0:               1:               1:               1
         8407050:               2:               0:               1:               1:               1
         8407051:               2:               0:               1:               1:               1
         8407053:               1:               0:               1:               0:               1
         8407055:               1:               0:               1:               0:               1
         8407057:               1:               0:               1:               0:               1
         8407058:               1:               0:               1:               0:               1
         8407059:               2:               0:               1:               1:               1
         8407060:               1:               0:               1:               0:               1
         8407061:              34:               0:               2:              32:               2
         8407133:               4:               0:               1:               3:               1
         8407134:             156:               0:               3:             153:               3
         8407135:              16:               0:               3:              13:               3
         8407136:              26:               0:               2:              24:               2
         8407137:              24:               0:               3:              21:               3
         8407138:               8:               0:               1:               7:               1
         8407140:               1:               0:               1:               0:               1
         8407141:               2:               0:               1:               1:               1
